127.0.0.1 - - [25/Apr/2023:09:46:43 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:46:44 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/TestClient.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:46:44 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Input.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:46:44 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Method.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:46:44 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Result.jsp? HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:46:46 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Input.jsp?method=13 HTTP/1.1" 200 434
127.0.0.1 - - [25/Apr/2023:09:46:58 +0700] "POST /SoapDictionary/services/DictServicesImpl HTTP/1.0" 200 374
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:46:58 +0700] "POST /SoapDictionaryClient/sampleDictServicesImplProxy/Result.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:53:48 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/TestClient.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:53:48 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Method.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:53:48 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Result.jsp? HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:53:49 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Input.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:53:50 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Input.jsp?method=13 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:57:32 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/TestClient.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:57:32 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Method.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:57:32 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Result.jsp? HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:57:32 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Input.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [25/Apr/2023:09:57:33 +0700] "GET /SoapDictionaryClient/sampleDictServicesImplProxy/Input.jsp?method=13 HTTP/1.1" 200 444
